This file was created by CMPT_ME_BEME_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative
CF/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
,SMALL LoCFP,ME1 CFP2,SMALL HiCFP,BIG LoCFP,ME2 CFP2,BIG HiCFP
195804,   7.33,   1.74,   2.31,   2.81,   3.73,   1.56
195805,   3.90,   3.84,   4.04,   1.63,   2.71,   2.34
195806,   3.05,   3.29,   3.41,   3.10,   2.54,   3.18
195807,   4.84,   5.19,   7.46,   4.25,   3.75,   6.74
195808,   3.15,   3.67,   3.42,   1.90,   1.24,   3.55
195809,   8.93,   5.36,   7.76,   4.55,   5.53,   5.16
195810,   2.69,   3.56,   3.96,   2.24,   2.76,   3.48
195811,   4.04,   7.40,   2.74,   3.73,   2.50,   2.32
195812,   2.40,   3.27,   4.04,   5.80,   5.64,   5.41
195901,   5.21,   3.70,   6.91,  -0.40,   1.28,   2.49
195902,   2.16,   5.50,   3.89,   2.38,  -0.90,   1.18
195903,   2.88,   0.65,   3.07,   0.95,   0.20,   1.05
195904,  10.57,   4.90,   2.49,   4.80,   3.60,   3.64
195905,  -2.83,   0.69,   0.84,   2.82,   1.41,   2.99
195906,   1.03,   2.09,   2.12,   0.26,  -1.14,   1.48
195907,   0.51,   4.05,   3.56,   4.01,   2.71,   4.13
195908,  -3.23,  -1.53,  -1.42,  -1.53,   0.26,  -2.62
195909,  -6.88,  -3.53,  -4.71,  -4.63,  -3.96,  -4.67
195910,   4.66,   1.53,   1.15,   1.39,   1.16,   2.48
195911,   3.82,   1.34,   2.33,   3.30,   0.72,  -0.24
195912,   5.80,   3.55,   1.58,   3.18,   2.82,   2.53
196001,  -7.35,  -4.14,  -5.56,  -8.68,  -5.00,  -6.54
196002,   5.15,   0.64,   1.78,   1.65,   2.76,  -0.96
196003,  -3.63,  -1.37,  -2.77,  -0.87,  -1.05,  -1.73
196004,   0.68,  -2.28,  -1.71,  -1.55,  -1.41,  -1.46
196005,   7.31,   3.05,   2.51,   5.17,   2.41,  -1.34
196006,   1.71,   1.32,   3.38,   1.90,   2.88,   2.77
196007,  -4.63,  -2.80,  -1.39,  -3.94,  -0.60,  -0.05
196008,   4.23,   2.21,   2.78,   2.24,   4.05,   4.19
196009,  -8.19,  -5.83,  -6.08,  -7.15,  -4.56,  -3.06
196010,  -7.60,  -2.14,  -3.49,  -1.44,   0.58,   1.05
196011,   9.59,   4.39,   4.45,   5.20,   4.15,   4.71
196012,   6.21,   3.35,   3.62,   3.27,   7.15,   5.25
196101,   5.52,   7.39,  11.10,   4.72,   7.03,   8.24
196102,   8.04,   6.79,   7.83,   3.92,   2.40,   3.04
196103,   7.59,   6.45,   5.44,   1.87,   4.34,   2.19
196104,   2.30,   0.06,   1.02,  -0.76,   1.01,   4.11
196105,   4.15,   4.16,   6.94,   3.49,   1.72,   1.15
196106,  -6.22,  -3.51,  -5.68,  -1.69,  -3.64,  -2.60
196107,   1.50,   0.37,   1.52,   1.97,   4.28,   3.62
196108,  -0.67,   1.43,   1.14,   4.30,   1.53,   0.52
196109,  -6.30,  -2.49,  -3.12,  -0.93,  -1.34,  -5.30
196110,   3.17,   2.53,   0.41,   2.81,   2.64,   4.73
196111,   8.66,   6.52,   4.00,   3.40,   5.87,   4.19
196112,  -0.33,  -1.43,   1.03,  -1.29,   1.34,   1.70
196201,  -2.59,  -1.30,   0.93,  -5.87,  -2.98,  -0.50
196202,  -0.15,   1.24,   1.99,   1.36,   2.54,   2.64
196203,   0.10,  -0.79,  -0.33,   0.18,  -0.40,  -2.19
196204,  -8.24,  -7.03,  -6.92,  -8.05,  -4.77,  -5.36
196205, -11.56,  -9.37,  -9.93, -10.54,  -7.02,  -5.97
196206, -11.25,  -7.28,  -6.32, -10.56,  -6.67,  -6.44
196207,   9.61,   5.50,   5.45,   8.93,   5.75,   4.57
196208,   3.32,   2.97,   3.80,   2.44,   2.32,   1.73
196209,  -8.19,  -6.71,  -6.48,  -6.21,  -4.25,  -3.31
196210,  -4.86,  -3.83,  -1.53,   0.05,   1.47,   0.00
196211,  15.87,  12.70,  13.83,  12.67,   9.05,  11.18
196212,  -3.25,  -1.09,  -0.54,   1.03,   1.75,   2.80
196301,   7.71,   8.08,   8.69,   4.58,   5.53,   3.75
196302,  -3.07,  -1.53,  -0.48,  -3.17,  -2.22,  -1.24
196303,   0.08,   1.96,   2.55,   2.59,   3.61,   5.42
196304,   2.69,   3.01,   4.18,   4.83,   4.07,   6.29
196305,   3.84,   3.15,   4.08,   2.14,   1.82,   1.79
196306,  -1.63,  -1.87,  -1.79,  -2.70,  -1.90,  -0.44
196307,  -0.42,  -0.50,  -0.66,  -0.35,   0.84,  -0.54
196308,   5.63,   5.32,   4.55,   5.47,   4.78,   6.93
196309,  -3.81,   0.01,  -1.77,  -0.55,  -1.72,  -1.99
196310,   0.61,   1.73,   2.22,   3.49,   3.22,   2.01
196311,  -3.35,  -1.01,  -0.55,   0.66,  -1.87,  -1.18
196312,   1.51,   0.47,   0.58,   1.92,   2.59,   3.21
196401,   1.37,   2.08,   4.31,   2.97,   2.70,   1.71
196402,   1.27,   2.45,   2.58,   1.34,   1.66,   4.21
196403,   2.16,   2.68,   5.99,   0.66,   2.58,   2.88
196404,  -2.15,  -0.49,  -1.63,  -0.65,   2.05,   0.93
196405,   1.83,   0.49,   1.58,   1.14,   1.70,   3.30
196406,   1.25,   1.80,   1.95,   2.09,   1.25,   1.65
196407,   1.43,   2.18,   2.89,   0.92,   3.40,   2.09
196408,  -1.43,   0.19,  -0.98,  -1.60,  -0.83,   0.06
196409,   4.24,   2.73,   2.95,   2.24,   3.26,   5.18
196410,  -0.98,   2.74,   1.90,  -0.13,   1.87,   0.57
196411,  -0.67,   0.20,  -0.59,   0.39,   0.83,  -0.71
196412,   0.49,  -0.17,  -1.34,   1.20,   0.19,  -1.15
196501,   5.95,   6.69,   6.33,   4.66,   2.28,   3.81
196502,   3.09,   3.95,   4.30,   1.08,  -0.38,   0.56
196503,   0.60,   0.54,   1.31,  -1.39,  -1.31,  -0.40
196504,   3.88,   5.73,   4.06,   3.68,   3.37,   2.97
196505,  -0.28,  -0.22,   0.04,   0.64,  -1.08,  -0.77
196506, -11.25,  -9.11,  -8.45,  -4.64,  -4.48,  -5.18
196507,   3.03,   2.74,   3.54,   1.45,   1.13,   3.51
196508,   8.33,   5.22,   4.43,   2.80,   3.09,   1.95
196509,   5.60,   4.68,   3.53,   3.40,   2.71,   4.82
196510,   6.64,   6.31,   6.60,   2.21,   2.87,   5.52
196511,   4.35,   5.15,   6.05,  -0.65,   0.37,   1.31
196512,   5.60,   3.00,   3.99,   0.58,   1.44,   2.23
196601,   6.24,   4.47,   7.77,  -0.32,   1.30,   3.19
196602,   7.20,   1.97,   3.66,  -1.03,  -2.34,   0.44
196603,  -1.59,  -2.86,  -1.87,  -1.95,  -2.38,  -1.01
196604,   7.11,   6.11,   4.63,   2.10,   2.06,   2.70
196605, -11.87,  -9.39, -10.39,  -4.25,  -5.16,  -6.36
196606,   1.74,  -0.51,   0.39,  -1.30,  -2.01,   1.63
196607,  -2.76,  -1.63,  -1.02,  -1.85,  -0.61,  -0.63
196608, -10.88, -10.13, -10.08,  -7.27,  -7.02,  -7.97
196609,  -1.41,  -1.61,  -1.74,  -1.24,   0.28,  -0.81
196610,  -3.20,  -1.12,  -0.32,   4.14,   5.79,   3.52
196611,   8.30,   3.51,   3.05,   5.08,  -1.58,   0.29
196612,   3.58,   2.56,   1.23,  -0.53,   1.16,   0.01
196701,  17.95,  16.67,  17.29,   6.88,   7.28,  12.01
196702,   5.40,   2.32,   2.63,   2.55,  -0.42,  -1.25
