This file was created by CMPT_ME_BEME_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative
CF/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
,SMALL LoCFP,ME1 CFP2,SMALL HiCFP,BIG LoCFP,ME2 CFP2,BIG HiCFP
196105,   3.76,   4.65,   6.46,   4.45,   3.73,   4.02
196106,  -5.32,  -3.55,  -5.19,  -3.52,  -2.91,  -3.29
196107,   1.56,   0.79,   0.83,   1.35,   2.72,   2.26
196108,   0.12,   1.46,   1.02,   4.40,   2.89,   1.93
196109,  -5.40,  -3.37,  -2.57,  -2.04,  -1.35,  -4.07
196110,   2.33,   2.52,   0.55,   1.58,   3.70,   2.53
196111,   8.86,   6.78,   3.91,   4.20,   4.35,   3.54
196112,  -0.83,  -0.67,   1.63,  -1.73,  -0.87,   2.17
196201,  -1.33,  -0.51,   1.81,  -4.81,  -2.64,  -0.29
196202,  -1.00,   1.87,   2.29,   0.76,   1.62,   2.14
196203,   0.69,   0.19,  -0.19,  -0.68,   0.30,  -1.69
196204,  -9.00,  -7.51,  -6.59,  -7.87,  -5.05,  -6.45
196205, -12.27,  -9.48,  -9.78, -11.01,  -8.95,  -7.34
196206, -10.34,  -8.02,  -6.64, -10.93,  -6.91,  -6.90
196207,   8.81,   6.18,   5.97,   7.14,   4.84,   5.24
196208,   3.46,   2.20,   4.03,   2.05,   2.39,   2.36
196209,  -7.62,  -6.35,  -6.59,  -6.24,  -4.63,  -4.98
196210,  -6.20,  -3.95,  -2.25,  -1.83,  -0.10,   0.12
196211,  15.82,  12.92,  13.33,  14.19,  11.52,  12.04
196212,  -3.13,  -1.14,  -0.54,   0.47,   0.79,   0.44
196301,   9.36,   9.16,   8.96,   4.87,   6.13,   6.70
196302,  -3.05,  -1.45,  -0.03,  -3.08,  -1.83,  -1.26
196303,   0.07,   2.11,   1.95,   1.40,   2.51,   4.03
196304,   2.47,   3.06,   3.56,   4.03,   3.87,   5.54
196305,   3.70,   2.78,   4.25,   2.34,   1.80,   3.26
196306,  -1.47,  -2.00,  -1.62,  -1.11,  -1.66,  -1.77
196307,  -0.12,  -0.17,  -1.05,  -0.24,  -1.26,  -0.76
196308,   3.25,   4.39,   3.60,   6.19,   4.96,   6.22
196309,  -1.47,  -0.45,  -0.86,  -2.40,  -1.73,  -2.01
196310,   0.52,   1.17,   1.79,   2.14,   1.07,   3.81
196311,  -3.87,  -1.10,  -1.35,  -1.18,  -0.59,   0.19
196312,  -0.38,  -0.15,  -1.27,   0.84,   1.61,   2.48
196401,   4.40,   3.24,   5.41,   1.38,   0.71,   3.24
196402,   1.82,   2.40,   2.37,   1.26,   2.43,   4.12
196403,   2.11,   2.59,   4.91,   0.76,   3.15,   5.82
196404,  -1.15,  -0.23,  -0.53,  -0.51,   0.76,  -0.75
196405,   0.54,   0.22,   0.39,   1.37,   0.79,   2.46
196406,   0.72,   1.33,   1.15,   1.77,   2.20,   1.41
196407,   1.45,   2.71,   4.05,   2.50,   2.52,   2.23
196408,   0.14,  -0.30,  -0.01,  -1.43,  -0.16,  -0.26
196409,   3.51,   3.92,   3.17,   3.29,   3.16,   4.35
196410,   1.12,   1.85,   3.52,   1.29,   1.13,   1.73
196411,  -1.19,  -0.40,  -0.48,   0.89,   0.71,  -0.30
196412,  -1.22,  -0.49,  -1.89,   0.43,  -0.43,  -1.43
196501,   8.68,   7.46,   7.64,   5.72,   4.54,   5.73
196502,   2.55,   3.30,   4.52,   1.90,   2.80,   3.44
196503,   1.08,   1.64,   2.50,  -0.56,  -0.72,  -0.09
196504,   3.57,   5.69,   4.41,   2.73,   3.23,   3.66
196505,   0.35,  -0.44,   0.25,  -0.37,  -0.80,   0.22
196506, -11.08,  -8.79,  -8.54,  -6.01,  -6.23,  -7.71
196507,   2.42,   2.88,   3.47,   2.25,   2.47,   3.28
196508,   6.14,   4.62,   3.44,   4.10,   3.93,   3.63
196509,   4.83,   4.45,   2.77,   2.81,   2.42,   5.00
196510,   7.88,   5.97,   6.97,   2.43,   3.38,   5.93
196511,   4.60,   6.25,   6.73,   1.49,   1.94,   3.53
196512,   6.30,   5.27,   5.36,   1.32,   2.62,   3.07
196601,   9.29,   5.93,   8.48,   0.85,   2.24,   4.77
196602,   7.07,   3.24,   4.51,  -0.96,  -0.85,   0.76
196603,   0.59,  -1.40,  -1.57,  -1.06,  -2.47,  -0.82
196604,   6.99,   5.35,   5.48,   2.27,   2.54,   3.65
196605, -11.57,  -9.38, -10.03,  -4.32,  -5.87,  -7.82
196606,  -0.10,  -1.32,   0.35,  -1.32,  -0.97,   0.92
196607,  -2.57,  -1.69,  -0.93,  -1.01,  -0.98,  -2.05
196608, -11.21, -10.36, -10.56,  -7.88,  -8.17,  -8.55
196609,  -1.89,  -1.58,  -1.91,  -0.94,  -1.35,  -1.79
196610,  -5.20,  -2.88,  -2.16,   2.89,   3.99,   2.27
196611,   7.44,   3.22,   2.62,   5.48,   2.44,   2.80
196612,   2.90,   2.14,   0.81,   1.51,   2.71,   1.50
196701,  22.26,  18.68,  20.46,   8.66,  10.32,  13.27
196702,   8.51,   4.14,   4.58,   1.52,   0.08,  -0.10
196703,   7.14,   6.22,   5.71,   4.47,   5.16,   5.66
196704,   5.00,   3.81,   4.71,   5.36,   2.99,   3.04
196705,  -0.24,  -0.54,  -0.25,  -3.42,  -2.89,  -1.05
196706,  14.45,  10.25,   8.92,   2.33,   2.86,   3.77
196707,   9.11,   8.83,  10.35,   4.30,   6.44,   6.43
196708,  -0.96,   0.72,   1.64,  -0.86,  -0.70,   0.99
196709,   8.44,   7.48,   7.23,   3.56,   2.13,   3.36
196710,   2.09,  -2.21,  -2.17,  -3.47,  -4.15,  -4.36
196711,  -0.97,   0.58,  -0.27,   2.19,  -0.24,  -0.42
196712,  12.72,   8.37,   9.12,   2.48,   4.52,   5.39
196801,   1.55,   3.93,   4.91,  -5.01,  -2.82,  -0.90
196802,  -8.59,  -6.96,  -4.68,  -4.25,  -3.44,  -3.92
196803,  -1.82,  -1.97,  -0.49,   1.06,  -0.60,  -0.70
196804,  17.49,  14.79,  16.39,  10.89,   8.78,  11.70
196805,  12.24,   9.92,  12.26,   3.17,   3.25,   4.11
196806,   0.16,   1.18,   2.31,   0.70,   3.20,   0.83
196807,  -4.98,  -3.07,  -1.35,  -5.79,  -3.22,  -1.16
196808,   3.82,   3.92,   4.51,   1.11,   1.75,   2.78
196809,   7.73,   6.74,   8.43,   5.42,   4.95,   6.09
196810,  -0.35,   0.96,   1.53,   0.00,   1.59,   2.06
196811,   6.97,   7.48,   6.95,   6.90,   7.62,   7.20
196812,   3.23,   0.75,   0.29,  -3.84,  -2.75,  -1.59
196901,  -0.78,  -0.93,   0.38,  -2.50,   0.34,  -0.52
196902, -11.33,  -8.17,  -8.08,  -6.66,  -6.21,  -6.26
196903,   2.49,   1.23,   2.45,   2.81,   1.05,   2.01
196904,  -0.32,   0.15,   0.06,   2.99,   0.84,   0.10
196905,   0.58,   0.64,   0.90,  -0.32,  -0.73,   0.66
196906, -14.18, -11.78, -11.13,  -7.62,  -7.75,  -8.60
196907, -12.39,  -9.74,  -8.24,  -6.76,  -6.83,  -6.85
196908,   5.78,   4.44,   3.88,   8.81,   4.62,   2.86
196909,  -2.75,  -3.26,  -1.84,   0.61,  -2.90,  -3.18
196910,  13.30,   9.06,   7.19,   7.73,   7.39,   6.06
196911,  -7.07,  -5.38,  -6.07,  -2.98,  -3.78,  -4.85
196912,  -9.49,  -7.13,  -6.90,  -1.13,  -2.07,  -3.64
197001,  -3.01,  -2.32,  -1.67,  -9.07,  -7.11,  -6.62
197002,   3.34,   2.84,   3.72,   5.28,   6.40,   7.24
197003,  -5.52,  -1.06,   0.22,  -3.44,   0.53,   1.00
197004, -21.94, -14.31, -11.92, -14.79, -11.93,  -8.90
197005,  -9.38,  -9.80,  -8.17, -11.02,  -8.05,  -5.29
197006, -11.07,  -7.19,  -5.79,  -6.20,  -5.20,  -6.30
197007,   5.73,   5.65,   5.33,   6.16,   8.24,   8.85
197008,   6.95,   5.86,   6.88,   5.37,   5.43,   6.33
197009,  20.08,  13.12,  12.68,   9.42,   4.78,   4.17
197010,  -9.56,  -6.94,  -5.40,  -2.82,  -2.89,  -3.19
197011,  -3.16,   0.23,  -0.21,   4.20,   6.45,   4.16
197012,   7.40,   9.97,  10.37,   6.62,   8.63,   9.04
197101,  16.45,  16.02,  15.88,   6.07,   5.91,   7.62
197102,   7.18,   4.43,   4.74,   3.10,   0.85,   1.84
197103,   7.07,   5.55,   5.93,   6.62,   3.89,   3.30
197104,   2.55,   2.65,   2.37,   3.83,   2.70,   3.84
197105,  -6.27,  -5.20,  -5.87,  -2.81,  -3.89,  -3.28
197106,  -1.88,  -2.21,  -2.38,   0.68,   0.71,  -2.00
197107,  -7.28,  -5.93,  -5.31,  -4.39,  -4.15,  -5.28
197108,   3.76,   4.34,   4.40,   5.95,   4.22,   5.12
197109,  -0.08,  -0.81,  -0.07,   0.87,  -1.18,  -2.59
197110,  -7.34,  -4.86,  -5.83,  -4.62,  -4.08,  -6.28
197111,  -4.12,  -4.15,  -3.62,  -0.90,  -1.22,  -1.55
197112,  14.31,  12.20,  12.96,  11.38,  10.22,  10.56
197201,  14.60,  10.85,  11.98,   3.04,   2.15,   3.95
197202,   6.09,   4.23,   3.98,   5.16,   2.00,   2.55
197203,  -0.09,   0.62,  -0.34,   0.64,   1.16,  -0.12
197204,   0.12,   0.03,   0.51,   0.66,  -0.10,   0.18
197205,  -2.70,  -2.77,  -2.49,   2.02,  -1.39,   0.15
197206,  -3.72,  -3.34,  -3.24,  -2.66,  -2.27,  -4.95
197207,  -4.45,  -3.24,  -2.34,  -2.04,  -1.99,  -1.57
197208,  -1.11,   1.50,   1.06,   0.49,   4.83,   6.15
197209,  -4.35,  -3.56,  -3.55,  -1.85,  -2.29,  -2.04
197210,  -4.04,  -1.26,  -1.01,  -0.72,   0.78,   1.88
197211,   2.53,   5.07,   6.66,   4.40,   7.55,   8.86
197212,  -2.77,  -2.39,  -2.78,   0.99,  -1.46,  -1.49
197301,  -5.47,  -4.11,  -2.22,  -6.67,  -6.33,  -3.29
197302,  -9.89,  -7.81,  -6.58,  -7.62,  -5.01,  -4.00
197303,  -3.77,  -3.42,  -1.83,  -3.52,  -1.68,  -0.76
197304,  -9.83,  -6.64,  -5.81,  -9.49,  -5.35,  -3.40
197305, -11.22,  -8.87,  -8.35,  -5.79,  -4.71,  -3.33
197306,  -4.50,  -3.61,  -3.19,  -3.67,  -3.22,  -1.31
197307,  18.00,  12.55,  10.62,  12.60,   6.12,   4.76
197308,  -4.65,  -5.85,  -5.15,  -2.87,  -2.03,  -2.07
197309,  10.59,   7.74,   7.21,   8.42,  10.12,  11.09
197310,  -1.02,   0.75,   0.62,  -1.58,   0.08,   0.52
197311, -22.24, -19.32, -16.90, -17.19, -14.43, -12.83
197312,  -4.90,  -4.31,  -4.43,  -0.79,   2.41,   4.06
197401,  15.60,  15.96,  15.77,   1.93,   5.65,   5.71
197402,  -0.73,   1.20,   2.26,  -1.74,   1.52,   2.27
197403,   1.12,   1.88,   2.13,  -1.50,  -2.73,  -2.10
197404,  -6.74,  -4.66,  -3.69,  -6.41,  -6.88,  -4.74
197405,  -8.19,  -6.78,  -5.94,  -6.26,  -6.41,  -6.60
197406,  -3.40,  -1.83,  -1.85,  -3.72,  -3.64,  -2.95
197407,  -6.06,  -4.57,  -3.81,  -8.07,  -2.21,  -3.29
197408,  -8.73,  -7.10,  -7.34, -10.90,  -8.60,  -6.45
197409,  -9.98,  -7.70,  -7.72, -11.20,  -6.40,  -8.16
197410,  11.04,   8.63,   6.75,  21.95,  12.48,   8.63
197411,  -5.33,  -5.64,  -5.97,  -2.86,  -2.66,  -4.03
197412,  -9.36,  -7.12,  -9.11,  -4.17,  -2.85,  -4.44
197501,  33.69,  30.76,  33.80,  17.32,  21.94,  25.41
197502,   7.87,   5.19,   3.86,   6.83,   3.64,   3.43
197503,   9.67,   9.19,  11.22,   5.12,   4.78,   7.51
197504,   4.76,   4.59,   2.45,   6.08,   2.91,   5.05
197505,   9.51,   7.92,   8.03,   6.15,   6.54,   4.37
197506,   8.64,   8.63,   7.90,   5.85,   7.41,   7.11
197507,   0.41,  -0.61,   0.84,  -6.83,  -4.58,  -4.99
197508,  -4.84,  -4.96,  -5.72,  -4.40,  -2.07,  -1.28
197509,  -3.91,  -3.09,  -3.43,  -5.09,  -2.54,  -4.32
197510,   0.49,   2.19,   1.20,   6.58,   5.50,   3.22
197511,   1.31,   2.46,   2.56,   3.17,   3.54,   4.52
197512,  -0.92,  -1.21,  -0.18,  -1.25,   0.01,   0.71
197601,  18.95,  19.31,  23.13,  12.14,  14.72,  20.78
197602,  11.70,  11.64,  14.50,   0.51,   2.74,   6.68
197603,   1.67,   1.16,   2.57,   1.80,   1.49,   1.86
197604,  -1.42,  -0.60,  -0.81,  -1.59,  -0.45,  -1.51
197605,  -1.88,  -1.86,  -2.74,  -2.13,  -0.71,   0.69
197606,   2.52,   2.45,   2.74,   4.80,   5.49,   6.56
197607,  -0.01,   0.43,   0.63,  -0.76,  -0.06,  -0.77
197608,  -3.58,  -1.08,  -0.96,  -1.24,   0.31,  -1.55
197609,   1.66,   2.18,   1.86,   1.55,   2.85,   4.36
197610,  -3.48,  -1.78,  -2.12,  -2.65,  -1.77,  -1.89
197611,   2.68,   2.65,   2.79,   1.67,   2.92,   3.79
197612,  10.95,  10.28,  10.33,   5.94,   7.75,   8.38
197701,   3.70,   4.45,   4.95,  -6.34,  -1.41,   0.79
197702,  -0.75,  -0.87,   1.66,  -2.51,  -1.85,  -1.55
197703,   1.14,   0.75,   1.34,  -0.82,   0.13,   0.72
197704,   1.09,   1.21,   2.02,  -0.45,   2.20,   3.43
197705,   0.29,   0.65,   0.86,  -1.22,  -0.37,   0.00
197706,   5.72,   5.79,   5.81,   5.82,   4.48,   5.38
197707,   0.93,   1.48,   1.74,  -0.88,  -1.63,  -2.59
197708,   0.52,  -0.46,  -0.92,  -0.11,  -2.24,  -2.68
197709,   1.45,   1.25,   1.93,  -0.40,   0.34,   0.34
197710,  -3.03,  -1.60,  -1.63,  -4.11,  -3.18,  -3.41
197711,   7.80,   8.39,   7.24,   5.91,   5.54,   6.62
197712,   2.40,   2.05,   2.87,   0.39,   0.41,   0.68
197801,  -1.05,  -1.36,  -0.18,  -5.86,  -4.74,  -4.98
197802,   2.16,   3.55,   3.57,  -1.48,  -0.35,  -0.03
197803,   7.32,   7.02,   7.18,   5.54,   3.84,   4.89
197804,   8.79,   8.38,   7.61,   9.39,   6.22,   7.95
197805,   8.34,   7.92,   7.87,   3.42,   2.77,   4.31
197806,   1.19,   0.21,   1.28,  -0.98,  -0.33,  -1.22
197807,   5.73,   5.17,   5.22,   5.72,   4.72,   7.49
197808,  10.23,   9.48,  11.06,   5.74,   4.42,   5.30
197809,   0.79,  -0.33,   0.76,  -2.08,  -0.62,  -1.21
197810, -22.63, -18.91, -19.29, -13.33, -12.08, -13.92
197811,   6.87,   5.20,   4.28,   3.53,   3.44,   3.58
197812,   1.90,   1.71,   1.68,   1.20,   0.56,   1.81
197901,  10.57,   9.80,  10.26,   5.87,   6.28,   6.45
197902,  -2.37,  -2.10,  -1.29,  -4.06,  -2.83,  -3.03
197903,   9.90,   7.94,   7.99,   6.99,   6.69,   9.33
197904,   2.43,   3.27,   3.25,   1.40,  -0.28,   1.89
197905,  -1.73,  -0.96,   1.26,  -1.85,  -0.56,  -1.28
197906,   6.45,   5.32,   4.28,   4.13,   6.73,   5.56
197907,   2.40,   2.62,   2.62,   2.47,   2.65,   3.50
197908,   8.08,   7.82,   7.60,   7.45,   5.67,   7.18
197909,   0.62,  -0.96,  -0.42,  -1.15,  -0.10,  -0.39
197910, -10.27,  -9.34, -10.28,  -7.97,  -8.15,  -8.63
197911,   8.17,   6.54,   5.51,   7.60,   6.54,   6.75
197912,   8.54,   5.66,   7.12,   3.33,   2.35,   4.12
198001,  12.60,   8.49,   9.95,   4.23,   4.71,   7.43
198002,  -0.58,  -1.17,  -1.52,  -3.80,  -3.15,  -2.36
198003, -18.82, -15.31, -16.22, -10.12, -10.08, -13.15
198004,   5.69,   5.59,   3.93,   6.42,   7.38,   4.46
198005,   7.54,   6.87,   7.58,   7.36,   7.37,   8.31
198006,   3.95,   4.81,   4.49,   3.49,   3.90,   3.58
198007,  12.17,   9.30,   8.69,  11.98,   5.60,   7.14
198008,  10.19,   6.25,   6.44,   4.40,   1.27,   2.98
198009,   5.43,   3.70,   4.71,   4.94,   1.84,   2.52
198010,   6.94,   2.86,   3.79,   1.23,   0.65,   1.12
198011,  10.00,   4.07,   3.60,  11.28,   5.14,   7.76
198012,  -4.56,  -2.52,  -2.52,  -1.93,   0.09,  -2.88
198101,  -0.98,   1.79,   2.84,  -4.32,  -0.88,  -1.39
198102,  -0.59,   1.72,   1.40,   2.11,   2.10,   2.22
198103,   7.72,   8.47,   8.26,   7.58,   7.20,   7.09
198104,   3.80,   4.31,   4.50,   0.57,  -0.02,   0.56
198105,   3.98,   2.89,   2.88,   2.35,   1.88,   1.04
198106,  -2.95,   2.28,   1.78,  -3.90,   1.29,   0.36
198107,  -3.47,  -1.79,  -1.60,  -0.15,  -1.66,  -1.31
198108,  -9.96,  -5.87,  -5.25,  -7.46,  -5.36,  -4.58
198109, -11.30,  -6.77,  -6.04,  -7.31,  -5.15,  -4.21
198110,   9.70,   6.90,   5.63,   9.54,   6.57,   4.39
198111,  -0.24,   3.77,   3.75,   2.95,   4.27,   4.81
198112,  -2.81,  -1.54,  -0.29,  -2.51,  -2.17,  -2.49
198201,  -2.66,  -1.24,  -0.43,  -4.58,  -2.37,  -1.99
198202,  -6.01,  -2.25,  -1.55,  -6.54,  -3.60,  -1.50
198203,  -1.87,  -0.02,   0.30,  -2.71,  -0.40,   0.75
198204,   6.16,   5.43,   5.34,   5.12,   5.13,   4.81
198205,  -2.04,  -1.33,  -1.18,  -4.31,  -3.97,  -3.37
198206,  -4.74,  -2.16,  -0.91,  -4.95,  -0.95,  -1.47
198207,  -2.21,  -0.95,  -0.69,  -1.64,  -2.52,  -3.71
198208,   5.37,   6.19,   5.36,  12.25,  11.23,  13.09
198209,   2.21,   4.00,   5.26,   2.42,   3.50,   1.23
198210,  14.37,  12.77,  12.26,  15.78,  12.59,  10.92
198211,   9.60,   9.60,  10.92,   8.24,   4.75,   4.18
198212,   2.75,   2.01,   2.64,   0.09,   1.44,   1.75
198301,  13.72,   7.88,   7.64,   3.17,   2.93,   4.46
198302,   4.49,   5.42,   7.40,   3.72,   3.49,   3.47
198303,   3.81,   5.99,   6.73,   3.31,   4.15,   4.18
198304,   8.03,   8.00,   8.21,   5.30,   6.73,   6.42
198305,  12.52,   8.58,   8.63,   3.89,   2.43,   3.09
198306,   5.98,   4.00,   3.70,   4.54,   2.41,   2.21
198307,  -4.10,  -0.42,   1.22,  -4.94,  -2.97,  -1.11
198308,  -5.53,  -2.28,  -1.12,  -2.44,  -0.66,   2.41
198309,  -0.34,   2.04,   1.18,   2.60,   3.28,   2.58
198310,  -8.28,  -4.27,  -3.35,  -6.41,  -1.45,  -1.65
198311,   3.94,   4.20,   2.96,   6.41,   3.85,   1.45
198312,  -3.05,  -0.33,  -0.72,  -2.49,  -0.55,  -1.36
198401,  -0.76,   0.57,   1.83,  -6.37,  -2.52,   1.56
198402,  -6.65,  -5.56,  -3.35,  -6.00,  -5.07,  -3.43
198403,  -0.65,   1.15,   2.42,   0.92,   2.51,   0.83
198404,  -2.44,  -0.67,  -0.39,  -0.58,  -0.05,  -0.54
198405,  -5.76,  -3.35,  -2.70,  -6.18,  -4.93,  -2.81
198406,   1.87,   2.80,   0.41,   4.85,   3.61,   1.17
198407,  -5.74,  -2.75,  -2.27,  -3.92,  -1.61,  -1.68
198408,  10.48,   9.43,   9.63,  13.79,  11.16,  11.34
198409,  -2.03,   1.51,   2.07,  -3.16,   0.05,   2.98
198410,  -2.87,  -0.45,  -0.34,  -1.95,   0.77,   1.47
198411,  -5.02,  -1.55,  -0.79,  -3.17,  -0.19,   1.04
198412,   0.15,   1.11,   2.18,   2.96,   2.88,   2.89
198501,  14.53,  12.99,   9.19,  12.34,   9.45,   6.61
198502,   5.35,   4.33,   4.48,   0.86,   1.89,   2.34
198503,  -3.57,  -0.60,   0.30,  -2.80,   0.16,   2.51
198504,  -2.46,   0.37,   0.21,  -2.16,  -0.34,   0.69
198505,   2.25,   3.72,   3.14,   5.19,   7.07,   5.48
198506,  -0.33,   1.57,   6.31,   1.45,   1.88,   3.13
198507,   2.64,   2.04,   1.71,  -0.07,  -0.15,  -0.61
198508,  -1.42,  -0.53,  -0.07,  -1.43,  -0.22,   0.81
198509,  -6.77,  -4.40,  -4.35,  -4.65,  -3.92,  -4.64
198510,   1.19,   3.45,   2.74,   4.81,   5.19,   5.51
198511,   5.73,   5.81,   6.13,   8.16,   7.25,   5.51
198512,   3.54,   3.52,   3.34,   4.46,   4.50,   3.92
198601,   3.67,   2.56,   3.64,   1.46,   1.39,   2.14
198602,   5.57,   6.15,   7.06,   8.11,   8.67,   7.19
198603,   3.43,   5.14,   6.86,   5.76,   6.14,   4.81
198604,   1.65,   1.68,   1.42,   0.77,  -0.70,  -2.11
198605,   3.47,   3.66,   2.88,   6.17,   5.66,   4.45
198606,  -0.74,  -0.06,   2.30,   1.19,   1.04,   2.46
198607,  -9.49,  -7.49,  -6.80,  -8.26,  -6.63,  -2.11
198608,   1.25,   2.09,   2.84,   6.46,   6.01,   8.57
198609,  -7.62,  -5.64,  -3.87,  -8.56,  -7.92,  -6.63
198610,   2.56,   2.36,   2.64,   6.12,   5.15,   5.20
198611,  -1.02,   0.00,   0.42,   0.96,   1.05,   0.80
198612,  -3.72,  -2.49,  -3.17,  -3.21,  -2.96,  -2.77
198701,  11.23,  10.88,  11.09,  14.39,  11.91,  11.17
198702,   8.06,   7.13,   6.58,   7.88,   6.29,   1.52
198703,   2.69,   2.27,   3.65,   1.06,   1.25,   0.89
198704,  -3.08,  -2.11,  -2.77,  -3.02,  -2.46,  -3.08
198705,   0.03,   0.22,   0.82,   0.78,   0.52,  -0.45
198706,   1.44,   3.48,   3.08,   4.38,   5.85,   3.73
198707,   2.59,   3.33,   3.44,   5.14,   4.37,   3.08
198708,   1.75,   2.43,   2.85,   4.20,   3.79,   3.01
198709,  -1.56,  -1.11,  -0.10,  -3.01,  -2.18,  -1.26
198710, -30.82, -27.44, -27.15, -26.30, -24.59, -18.39
198711,  -6.42,  -4.74,  -2.97,  -6.94,  -5.90,  -5.35
198712,   3.69,   5.60,   3.83,  11.15,   8.73,   5.54
198801,   7.11,   6.41,   6.68,   2.22,   6.17,   7.26
198802,   6.30,   8.61,   6.92,   8.56,   6.70,   5.04
198803,   5.10,   4.85,   4.76,  -0.41,  -0.31,  -1.28
198804,   2.25,   1.65,   1.85,  -0.25,  -0.30,   1.08
198805,  -2.31,  -1.61,  -1.46,  -0.68,  -0.19,   1.91
198806,   6.25,   6.51,   5.53,   6.53,   6.79,   6.09
198807,  -0.99,  -0.06,   1.18,  -2.68,  -1.36,  -1.03
198808,  -2.79,  -1.52,  -1.25,  -3.06,  -1.23,  -1.73
198809,   2.25,   2.95,   2.82,   3.36,   3.94,   3.96
198810,  -2.06,  -0.74,   0.53,  -0.04,   1.41,   1.75
198811,  -4.76,  -2.92,  -3.41,  -2.11,  -2.43,  -1.99
198812,   3.95,   3.45,   3.51,   2.86,   2.27,   2.26
198901,   5.17,   4.77,   6.06,   6.29,   5.81,   6.55
198902,   0.86,   0.28,   0.94,  -1.00,  -0.37,  -0.63
198903,   2.20,   1.99,   3.71,   0.33,   1.80,   2.08
198904,   3.68,   3.34,   3.64,   5.65,   4.76,   4.37
198905,   3.45,   3.75,   3.65,   4.97,   4.10,   4.00
198906,  -2.48,  -0.53,  -0.24,  -1.62,  -0.24,   0.43
198907,   3.11,   3.25,   3.50,   8.05,   7.01,   6.65
198908,   1.52,   1.95,   2.73,   2.29,   3.03,   3.95
198909,   0.22,   0.54,   0.04,   0.15,  -1.13,  -1.01
198910,  -4.19,  -4.74,  -5.54,  -3.19,  -3.78,  -5.32
198911,  -0.62,  -0.36,  -1.41,   1.58,   1.38,   0.63
198912,  -1.14,   0.03,  -1.18,   1.79,   1.52,   1.57
199001,  -5.65,  -6.44,  -5.56,  -6.79,  -7.26,  -8.46
199002,   1.65,   2.30,   2.62,   1.39,   1.66,   2.40
199003,   3.19,   3.01,   3.10,   3.70,   1.83,   1.65
199004,  -2.18,  -2.31,  -2.48,  -2.96,  -4.36,  -5.09
199005,   6.22,   5.16,   3.22,  10.55,   9.27,   7.08
199006,   1.13,   1.37,  -0.50,   0.42,  -1.23,  -1.91
199007,  -3.21,  -2.98,  -3.56,  -2.45,  -1.68,  -1.85
199008, -12.79, -12.11, -11.95, -10.15, -10.33,  -9.91
199009,  -8.40,  -7.80,  -8.39,  -8.04,  -6.17,  -6.07
199010,  -6.43,  -5.61,  -5.71,  -2.88,  -2.52,  -1.95
199011,   5.25,   4.81,   3.52,   9.85,   9.44,   7.70
199012,   0.30,   1.48,   1.95,   4.76,   4.05,   4.66
199101,   8.86,   9.51,   9.76,   6.88,   6.18,   7.31
199102,  13.55,  12.60,  12.83,   9.33,   7.98,   7.11
199103,   9.01,   7.53,   7.44,   3.52,   3.42,   2.33
199104,   2.22,   2.08,   2.42,  -0.95,   1.58,   1.49
199105,   3.11,   2.89,   3.18,   4.60,   4.49,   4.67
199106,  -3.78,  -3.54,  -3.22,  -5.04,  -4.24,  -3.89
199107,   3.01,   1.97,   4.70,   5.40,   4.21,   4.79
199108,   3.76,   2.62,   2.35,   2.60,   3.10,   3.34
199109,   1.96,   0.20,   0.10,  -1.49,  -0.21,  -1.54
199110,   2.82,   2.77,   1.43,   1.66,   1.01,   2.57
199111,  -2.30,  -2.08,  -3.04,  -2.85,  -3.76,  -5.92
199112,   5.17,   4.62,   3.83,  12.53,  10.06,   8.82
199201,  12.04,  10.95,  15.32,   0.91,   0.43,   4.42
199202,   3.56,   3.92,   6.80,   0.77,   2.85,   3.68
199203,  -2.85,  -1.61,  -0.36,  -3.22,  -1.95,  -1.60
199204,  -5.37,  -3.03,  -3.57,  -1.81,   2.39,   2.32
199205,  -0.10,   0.56,   0.01,   0.75,   1.02,   0.90
199206,  -6.04,  -4.32,  -3.81,  -2.44,  -1.56,  -2.50
199207,   1.73,   2.31,   2.65,   4.25,   4.23,   5.24
199208,  -3.00,  -1.33,  -1.57,  -1.48,  -2.22,  -1.37
199209,   0.78,   1.70,   2.33,   1.86,   2.02,   1.69
199210,   2.87,   2.37,   2.70,   3.89,   2.02,   1.18
199211,   9.22,   7.85,   7.02,   5.98,   4.69,   3.31
199212,   3.20,   3.33,   4.68,   1.66,   2.66,   3.57
199301,   5.97,   5.00,   7.15,   0.17,   1.56,   2.59
199302,  -4.66,  -1.34,   0.07,  -2.46,   0.64,   3.12
199303,   1.74,   2.80,   3.21,   3.02,   3.61,   2.99
199304,  -3.55,  -1.92,  -1.26,  -3.78,  -2.89,  -1.18
199305,   5.00,   3.71,   3.86,   5.04,   2.38,   2.24
199306,   0.56,   1.47,   0.91,  -0.82,   0.49,   1.79
199307,   0.21,   2.09,   0.92,  -0.97,   0.51,   1.08
