This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197203,   0.2829,  -0.1266,   0.7011,  -0.8411,   0.6296,   1.6956
197204,   0.5947,   0.8394,   0.4370,   1.6417,  -0.2779,   0.8791
197205,  -2.8384,  -1.5038,  -1.2270,   0.3207,   0.9340,   3.5094
197206,  -2.9391,  -3.3149,  -2.9482,  -4.1442,  -2.7451,  -0.6235
197207,  -2.8070,  -2.7583,  -5.0051,  -3.1940,  -0.7753,   1.0537
197208,   1.2923,   1.5578,   0.3233,   5.8987,   4.8809,   2.5162
197209,  -4.2824,  -2.8064,  -2.4237,  -1.8560,  -0.2190,  -0.4133
197210,  -1.8469,  -0.7631,  -1.7124,   0.8971,   2.1245,   0.6024
197211,   5.3315,   5.5489,   5.5341,   7.6279,   6.2256,   3.4254
197212,  -2.2225,  -0.6862,  -1.4806,  -1.7113,   0.6447,   2.3832
197301,  -4.7672,  -5.2319,  -5.6718,  -3.3216,  -3.1655,  -1.4567
197302,  -7.2266,  -7.4120, -10.3048,  -5.0612,  -4.6935,  -3.0359
197303,  -2.0010,  -2.6847,  -3.2914,   0.2423,  -0.6621,  -0.4229
197304,  -5.9212,  -5.7496,  -9.2120,  -4.9660,  -2.7866,  -5.2030
197305,  -8.8770,  -7.4132,  -8.2065,  -4.2677,  -1.2591,  -1.1358
197306,  -2.8195,  -3.0921,  -4.9869,  -1.6925,  -1.5040,  -0.1999
197307,  13.4853,   9.4920,  15.8288,   7.2446,   4.6981,   4.5484
197308,  -3.7993,  -4.5090,  -4.7040,  -1.6260,  -2.8251,  -3.5149
197309,   9.3077,   9.6496,  10.1795,   7.7280,   8.0190,   2.3950
197310,   1.3932,   0.0705,  -2.5747,  -0.0408,  -0.6386,   0.1716
197311, -17.6468, -18.0227, -21.9068, -10.3995, -12.4470, -11.4076
197312,  -1.3024,  -2.2266,  -2.3215,   4.2966,   3.7502,  -0.4812
197401,  12.1718,   9.8763,   8.7827,   1.1117,   0.1222,  -1.5725
197402,   1.6475,   0.3018,   0.2689,   1.2297,   1.6678,  -1.3938
197403,  -0.4949,  -0.3385,   0.4229,  -5.9375,  -2.6963,  -1.2307
197404,  -6.3240,  -4.9087,  -4.7930,  -7.3881,  -4.8363,  -3.3139
197405,  -8.0847,  -7.3197,  -6.4233,  -9.6793,  -3.5061,  -1.4047
197406,  -2.5028,  -1.7688,  -2.7365,  -2.9838,  -2.2829,  -1.5291
197407,  -3.7086,  -4.0163,  -5.8081,  -4.5084,  -7.3385,  -8.8787
197408,  -7.8413,  -8.3250,  -8.2422,  -8.8481,  -8.6082,  -8.6830
197409,  -7.9384,  -7.5415, -10.3503,  -7.7378,  -8.6026, -14.1360
197410,   9.8027,   9.0932,  10.1386,  17.7002,  17.9604,  17.4141
197411,  -3.8931,  -4.6624,  -5.9378,  -0.3545,  -3.6137,  -5.0941
197412,  -6.5612,  -5.7443,  -7.5704,  -3.2999,  -0.5109,  -3.4698
197501,  27.4790,  25.8466,  27.6691,  14.9305,  12.4636,  12.8498
197502,   6.3983,   4.0313,   3.4687,   3.9588,   3.6798,   9.0099
197503,   6.0957,   6.2690,  10.0391,   3.5041,   3.1685,   2.2362
197504,   3.7051,   4.2027,   5.0677,   4.2031,   3.6662,   5.7997
197505,   9.0281,   7.0997,   7.5909,   5.6911,   5.7161,   5.1405
197506,   8.1102,   6.9040,   6.1215,   7.5111,   5.9971,   3.7083
197507,  -3.3848,  -2.0139,  -2.4920,  -7.0564,  -5.8391,  -7.0091
197508,  -5.7645,  -4.2832,  -4.9769,  -2.9273,  -2.3005,  -1.5949
197509,  -4.1335,  -3.1465,  -3.6958,  -4.2795,  -3.6612,  -3.3535
197510,   1.8685,   2.0627,   2.8934,   7.1199,   7.5116,   5.2269
197511,   1.6283,   2.8019,   2.6186,   4.8550,   3.0575,   2.7658
197512,  -0.6948,  -0.8175,  -1.0038,  -1.4826,  -0.7514,  -1.4002
197601,  22.1678,  17.6288,  18.1624,  11.7476,  12.0993,  11.9838
197602,  10.8067,   7.3999,   8.3335,   1.7957,  -0.1399,  -1.0888
197603,   1.9997,   1.0784,   1.5120,   3.7032,   2.1169,   3.2449
197604,  -1.4479,  -0.4737,  -1.3259,  -2.4160,   0.1082,  -1.7030
197605,  -3.2884,  -1.8624,  -1.4960,  -2.7237,  -1.7493,   0.5422
197606,   4.4342,   3.4668,   3.6536,   5.2721,   4.1609,   4.9859
197607,   0.1052,   1.2724,  -0.9085,   0.2655,  -0.6280,  -0.9972
197608,  -2.9438,  -0.9360,  -2.5565,   0.8498,   0.4601,  -0.4257
197609,   2.0911,   2.5739,   3.3344,   1.9916,   2.5699,   2.6643
197610,  -2.5110,  -1.4542,  -2.3714,  -1.8915,  -1.5129,  -2.5969
197611,   3.8769,   2.9707,   3.7457,   2.0432,   0.5705,  -0.1909
197612,  10.5040,   9.3319,   9.6584,   5.6845,   5.6007,   5.6487
197701,   2.5843,   2.5142,   1.6761,  -4.7881,  -3.6662,  -4.8103
197702,  -0.7529,  -0.5243,  -0.8956,  -1.7291,  -1.7549,  -1.8036
197703,   0.1315,   0.4683,   0.4771,  -0.3083,  -1.2746,  -1.4128
197704,   1.7402,   1.7358,   1.2031,   2.8284,   0.4775,  -0.6401
197705,  -0.2101,   0.3005,   0.2008,  -1.8703,  -0.2976,  -1.5745
197706,   7.0880,   5.8738,   7.3521,   4.0656,   4.2594,   5.6867
197707,  -0.6369,   0.6958,   0.2142,  -1.7535,  -1.3197,  -1.4262
197708,  -1.2348,  -0.6008,   0.0242,  -2.1164,  -1.1781,  -1.2230
197709,   0.7395,   1.0122,   2.0553,  -0.9196,   0.3200,   0.0266
197710,  -2.8352,  -1.3770,  -3.2123,  -3.7610,  -4.4043,  -3.8925
197711,   7.3860,   7.6185,   8.4748,   4.7551,   4.4167,   3.4189
197712,   1.9299,   1.7065,   2.6731,  -0.5024,   0.6228,   0.8386
197801,  -1.8221,  -2.5292,  -4.2728,  -5.3796,  -5.4990,  -6.3663
197802,   1.8934,   2.0155,   2.7409,  -1.4367,  -0.7298,  -1.8762
197803,   7.1945,   6.1989,   7.1057,   2.9982,   3.7289,   2.1743
197804,   7.1107,   7.3860,   9.6428,   7.2826,   7.4099,  10.0606
197805,   6.7770,   5.0003,   7.5405,   1.5003,   1.7374,   1.6317
197806,   1.3950,   0.0323,  -0.5892,  -1.3221,  -0.6300,  -2.0956
197807,   4.9421,   5.2132,   7.2546,   5.1941,   5.4311,   5.9577
197808,   8.7951,   7.6404,   9.2827,   2.0491,   3.5474,   4.5778
197809,  -0.7628,  -0.4160,  -1.9390,  -0.4544,  -0.9532,  -0.7913
197810, -21.0163, -18.0654, -21.9640, -10.5949,  -9.7814,  -9.4372
197811,   4.9268,   5.4552,   7.8600,   3.4441,   3.1745,   2.9396
197812,   2.2143,   2.0403,   2.7228,  -0.6103,   1.0194,   2.9197
197901,   9.8940,   7.6473,   8.5563,   7.3220,   4.0740,   3.6508
197902,  -1.5408,  -2.1573,  -3.7669,  -3.1198,  -2.7984,  -3.1937
197903,   9.2886,   8.5573,  10.4927,   6.1892,   5.3382,   6.3831
197904,   3.1405,   2.3281,   2.6169,  -1.7888,   0.6369,   1.0963
197905,  -0.5544,  -1.4271,  -1.0603,  -0.5096,  -1.7016,  -1.7647
197906,   6.3754,   5.8767,   5.0965,   6.0679,   4.3002,   3.9243
197907,   2.1306,   3.6532,   3.1841,   2.2586,   1.5774,   0.8803
197908,   7.5992,   7.3441,   9.1493,   4.7700,   6.3569,   6.2379
197909,  -0.5242,  -0.4306,  -0.1339,  -0.7673,  -0.3143,   0.5693
197910, -10.3666, -10.1248, -10.1542,  -7.7882,  -6.8222,  -5.9725
197911,   8.9695,   6.8801,   9.7341,   6.4725,   5.4068,   5.9613
197912,   7.8678,   5.7518,   6.4403,   1.8180,   2.1904,   1.9489
198001,  11.0028,   6.9159,   7.2093,   6.3679,   5.1154,   6.4367
198002,  -0.2933,  -2.8257,  -1.8704,   1.2257,  -2.0696,   0.5694
198003, -19.7258, -16.1693, -17.6554, -12.2458,  -8.8915, -10.7341
198004,   6.9096,   5.9504,   5.5156,   6.8771,   4.8238,   4.0694
198005,   7.3856,   7.8949,   8.7137,   5.6074,   6.0828,   5.2460
198006,   4.5124,   4.5444,   4.8144,   4.0617,   2.2885,   3.6307
198007,   8.9754,   9.1578,  13.1688,   4.0994,   6.3606,   7.8101
198008,   5.1701,   5.7602,   7.3670,  -0.0633,   2.4536,   1.8579
198009,   2.8879,   2.4743,   5.0368,   1.7831,   3.0669,   3.3590
198010,   4.1374,   3.5531,   4.4326,  -0.0262,   1.4903,   2.8752
198011,   7.6239,   6.3389,   8.6971,   5.1339,  12.4352,  12.4999
198012,  -4.6554,  -1.8941,  -3.5189,  -0.7279,  -2.7361,  -4.0723
198101,  -0.7199,   0.1242,  -2.1658,  -0.5900,  -4.5691,  -6.1105
198102,   0.9942,   1.6230,   1.0420,   1.0052,   2.9836,   1.3960
198103,   7.3465,   7.2964,   8.6957,   8.4101,   3.9143,   2.3329
198104,   1.8915,   2.4416,   4.9135,  -1.2387,  -0.9346,  -2.5200
198105,   2.8511,   2.7455,   4.8646,   1.8415,   0.6063,   0.4207
198106,  -1.7550,  -0.5768,  -3.2643,   0.6919,  -1.3091,  -0.6028
198107,  -1.6325,  -1.9765,  -3.1742,  -1.8512,  -0.7763,   1.8232
198108,  -8.1093,  -6.1384,  -8.5953,  -5.8813,  -5.1739,  -5.9253
198109,  -9.8444,  -6.8030,  -7.6582,  -4.3833,  -4.3746,  -6.6149
198110,   7.4772,   6.9637,   9.8778,   2.8856,   5.7838,   7.0697
198111,   0.9733,   4.4483,   2.9681,   5.8489,   4.0073,   4.3660
198112,  -2.3469,  -1.7839,  -1.3659,  -3.1859,  -2.0949,  -3.5229
198201,  -3.2560,  -2.8365,  -4.3276,  -0.5005,  -2.4517,  -2.3084
198202,  -3.8885,  -3.5737,  -5.4654,  -1.0468,  -4.9038,  -6.3897
198203,  -0.8595,   0.0075,  -1.4147,   1.0223,  -0.7207,  -1.3902
198204,   4.8823,   5.2404,   6.6615,   3.7603,   3.5557,   5.2304
198205,  -2.7301,  -2.1921,  -2.6568,  -3.6343,  -3.2026,  -2.1672
198206,  -3.0221,  -2.1607,  -2.3734,  -0.9074,  -2.3625,  -1.7614
198207,  -2.1130,  -1.5695,  -0.7470,  -2.6686,  -2.3296,  -1.8429
198208,   7.7924,   8.2503,   8.7048,  15.3222,  12.6564,  10.5946
198209,   2.5543,   4.4505,   4.5558,   0.4940,   0.9936,   2.7762
198210,  14.1855,  12.4478,  15.3073,  12.1534,  10.9501,  11.9594
198211,  10.2262,   8.5644,   9.3018,   5.7371,   3.8336,   5.1760
198212,   1.4217,   0.8470,   1.2304,   1.8204,   0.6298,   1.7163
198301,   8.9448,   7.1841,   6.2057,   2.8077,   4.6309,   2.6640
198302,   5.2954,   5.7186,   5.7418,   4.6095,   2.3098,   2.7990
198303,   4.2883,   4.9798,   4.5810,   3.8870,   2.9927,   3.5658
198304,   8.3095,   7.0876,   8.0586,   7.4699,   7.0929,   7.3224
198305,   8.5259,   5.4686,   5.6727,   1.1426,  -0.8365,   0.3215
198306,   4.4480,   4.3325,   4.9088,   0.5618,   3.9685,   4.6794
198307,  -4.1617,  -1.3008,  -2.6209,  -2.0725,  -3.4068,  -3.9211
198308,  -4.1667,  -2.5489,  -3.0900,   0.4669,   1.9833,   0.3878
198309,  -0.8076,   3.6216,   1.9238,   2.1174,   1.6037,   1.6794
198310,  -6.7546,  -4.3585,  -6.9668,  -0.8774,  -1.9466,  -2.1717
198311,   3.6362,   4.9349,   4.7216,   4.1805,   2.2729,   1.9442
198312,  -1.9616,  -1.3831,  -1.5117,  -2.4051,  -1.1429,   0.1691
198401,  -0.1077,  -1.5789,  -2.2800,  -2.6842,   0.8345,  -2.5088
198402,  -5.6959,  -4.9398,  -5.6757,  -5.3866,  -3.0721,  -3.7341
198403,   1.0330,   0.8777,   1.0447,   3.2126,   0.4850,   1.3858
198404,  -2.2157,  -0.1365,   0.3451,  -3.0555,   1.8779,   0.9535
198405,  -6.3816,  -4.5002,  -4.9115,  -7.4712,  -4.6549,  -4.4297
198406,   1.2702,   2.8878,   4.0812,  -0.0304,   3.7169,   3.3142
198407,  -6.9807,  -3.5027,  -2.6239,  -3.6536,  -1.9589,  -0.6309
198408,  11.5354,  11.5776,  11.7282,  13.0122,  11.0064,  11.0882
198409,  -1.8362,   0.2257,   0.0994,  -0.6116,  -0.2592,   0.3515
198410,  -2.8889,  -0.7530,  -0.2541,   0.9103,  -0.3134,   0.8269
198411,  -4.4030,  -1.3151,  -1.1748,  -0.0157,  -0.6003,  -1.5660
198412,   0.4481,   2.2687,   2.6788,   2.5941,   2.3076,   2.8191
198501,  13.4431,  11.0689,  12.0588,   8.6981,   7.4690,   8.3877
198502,   2.5515,   2.5251,   3.1180,   0.0619,   1.6542,   2.2503
198503,  -3.7284,  -0.7990,  -1.1237,  -0.1216,   0.3878,  -0.2997
198504,  -1.9337,  -1.0632,   0.9856,  -0.5861,  -0.0069,  -0.5482
198505,   2.2432,   3.9001,   5.0922,   6.2779,   6.1789,   6.0233
198506,  -0.4702,   2.2181,   3.7180,   2.1705,   2.1115,   1.0741
198507,   3.0342,   1.8066,   2.4233,  -0.2745,  -0.6842,  -0.7029
198508,  -1.1802,  -0.6125,  -0.9124,  -0.3605,  -0.2874,  -0.5825
198509,  -6.8328,  -4.5521,  -5.6612,  -4.5550,  -3.4301,  -3.3234
198510,   2.1540,   3.6538,   4.0305,   5.1825,   4.6951,   4.8957
198511,   6.9264,   6.7610,   7.9757,   7.2304,   7.2655,   6.8845
198512,   3.6261,   4.5420,   4.5701,   4.1173,   4.7355,   4.8710
198601,   2.2010,   1.1648,   2.8644,   4.5903,   0.1636,  -0.0137
198602,   5.5637,   6.8369,   8.5863,   8.5359,   7.6426,   7.6662
198603,   3.8517,   5.7579,   4.5888,   4.6274,   5.0624,   6.5252
198604,   1.0519,   1.7471,   2.4393,  -4.8921,  -0.5949,  -0.2519
198605,   2.6057,   4.3382,   5.1144,   4.3636,   5.1210,   6.0253
198606,  -0.8324,   1.0208,   1.2633,   0.3773,   2.3670,   1.7718
198607, -10.3008,  -7.8784,  -9.4347,  -4.1618,  -4.3221,  -6.5803
198608,   3.0877,   4.1226,   2.0182,   8.7042,   7.2597,   6.6077
198609,  -6.0448,  -5.9618,  -6.8797,  -8.7991,  -8.5828,  -8.2099
198610,   2.8337,   3.2060,   4.1313,   5.7934,   6.2027,   4.7910
198611,  -0.8523,   0.4580,   0.0421,   0.7920,   2.2592,   2.1239
198612,  -3.7532,  -2.4625,  -2.3971,  -3.0613,  -2.9966,  -2.4645
198701,  11.2661,  11.5707,  11.6662,  13.2922,  12.4096,  13.3314
198702,   8.7952,   6.2392,   8.3021,   5.6875,   3.3244,   4.6072
198703,   2.5840,   2.8239,   1.6912,  -0.0047,   1.1336,   3.5118
198704,  -1.6619,  -3.8413,  -3.0939,  -1.4659,  -2.1334,  -0.9873
198705,  -0.0617,   0.4099,  -0.3070,  -0.6160,   0.9536,   0.9258
198706,   0.9352,   3.0107,   2.9920,   3.7971,   4.7368,   5.3931
198707,   3.0024,   3.8111,   2.9808,   5.9837,   3.2549,   5.2290
198708,   1.8508,   3.2870,   4.4270,   3.2468,   3.9975,   4.5965
198709,  -1.8870,  -1.7136,  -1.8826,  -0.8073,  -2.0989,  -2.7431
198710, -32.0383, -27.4446, -29.8943, -22.9989, -20.4777, -21.6887
198711,  -5.4628,  -3.1152,  -6.4539,  -5.6302,  -7.6111,  -8.7643
198712,   5.3645,   7.1031,   9.4907,   5.6753,   7.3612,   7.6114
198801,   4.4808,   5.0967,   2.6899,   4.8843,   4.6603,   4.5231
198802,   6.8494,   8.1366,   9.1330,   3.7499,   4.5169,   5.2237
198803,   4.2432,   2.5827,   4.6363,  -2.1386,  -2.5178,  -3.0939
198804,   2.3002,   1.8057,   1.7786,  -0.0031,   1.7845,   0.1226
198805,  -1.8258,  -1.2863,  -2.6028,   1.2616,   0.6808,   0.5109
198806,   5.8384,   7.5793,   7.5440,   4.0567,   4.7850,   5.3362
198807,  -0.6598,  -1.2474,  -1.1052,  -0.2044,  -0.5892,  -1.0297
198808,  -3.0945,  -2.0894,  -2.7785,  -1.0369,  -3.0514,  -2.8627
198809,   1.7294,   3.2589,   2.9909,   3.2794,   3.1978,   5.4652
198810,  -1.5029,  -0.0973,  -0.7705,   0.5145,   2.4861,   2.5701
198811,  -3.1670,  -2.4576,  -3.5501,  -1.4423,  -1.4743,  -1.5775
198812,   3.9629,   3.6258,   3.6801,   0.9384,   1.8744,   2.2867
198901,   6.0181,   4.3354,   3.9093,   6.9439,   6.4954,   7.2181
198902,   0.7782,   1.1516,   0.3632,  -0.8393,  -2.4661,  -1.9861
198903,   3.2392,   2.8664,   2.7399,   2.4781,   1.3421,   2.9666
198904,   3.9942,   4.6646,   5.2548,   5.3087,   4.8105,   5.5207
198905,   4.1081,   3.8966,   4.8658,   4.2655,   4.0245,   4.2631
198906,  -2.5335,  -0.8924,  -1.8280,  -0.4999,   0.0448,  -0.9691
198907,   3.5571,   4.5926,   4.3970,   6.4983,   7.9572,   9.4697
198908,   2.1744,   2.1408,   3.6465,   2.6909,   1.7672,   2.2212
198909,  -0.3097,   0.6393,   1.0624,  -0.4448,  -0.6945,   0.5474
198910,  -5.9308,  -5.3604,  -5.4453,  -2.5554,  -1.9926,  -2.9485
198911,   0.2880,   1.0682,   0.4016,   3.0151,   2.4516,   0.9321
198912,  -0.2835,   0.0917,  -0.0388,   1.6757,   3.2844,   1.0988
199001,  -7.7915,  -8.0573,  -9.6267,  -6.4628,  -6.8158,  -7.3540
199002,   2.9412,   2.5811,   3.0111,   1.8297,   1.4717,   1.3519
199003,   2.9412,   4.0111,   4.7858,   0.8063,   1.8875,   3.2402
199004,  -3.3178,  -3.2010,  -3.1453,  -4.7041,  -2.8369,  -1.7034
199005,   6.1248,   7.1604,   7.7869,   8.3803,   8.7693,  10.2241
199006,   1.5593,   0.8364,  -0.2311,   0.4337,  -1.3550,  -0.1182
199007,  -4.3035,  -3.3932,  -4.2753,  -0.7996,   0.1218,  -1.7084
