This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200211,  18.5010,   8.2567,  13.3516,  13.9406,   6.6884,   8.2692
200212,  -7.2587,  -2.9321,  -5.0794,  -6.4228,  -3.2951,  -4.9778
200301,   2.1130,   0.2378,  -0.2930,  -2.4255,  -3.0439,  -2.1035
200302,  -2.5563,  -2.8179,  -3.0239,  -2.6963,  -2.3283,  -2.1430
200303,   2.0121,   1.0501,   0.5746,   0.7235,   0.6247,   1.5459
200304,  12.0210,   8.6328,   9.9186,  11.8294,   8.0235,   9.3154
200305,  20.5508,  10.1674,  14.8048,  10.2748,   8.1354,   9.7811
200306,   7.6350,   4.7212,   5.5519,   0.1244,   0.9839,   2.2025
200307,  10.5532,   6.4733,   7.0365,   4.0769,   2.7653,   3.1378
200308,   6.4218,   4.6567,   4.6334,   5.1219,   4.1893,   4.0547
200309,   6.1696,   1.6321,   0.6310,  -0.8114,  -1.7894,  -1.2444
200310,  10.2817,   7.5980,   8.1252,   7.8647,   7.1248,   8.1221
200311,   4.8078,   4.0700,   3.2588,   2.5377,   2.8442,   2.5958
200312,   3.4213,   3.8213,   3.1390,   5.2188,   4.0278,   1.9435
200401,  13.2616,   5.6419,   4.2585,   4.3989,   1.4071,   2.4341
200402,  -0.5056,   1.9499,   0.9777,   0.9632,   2.4106,   3.4153
200403,  -0.2116,   0.6824,   0.7866,  -0.0874,  -0.8273,   0.1811
200404,  -4.6449,  -2.3799,  -2.4460,  -4.0969,  -2.1634,  -2.1559
200405,  -0.8275,   0.1301,  -0.5035,   2.7905,   1.3728,   1.9686
200406,   2.0426,   3.5067,   2.8853,   2.5506,   2.6713,   1.7524
200407,  -8.0772,  -4.7329,  -7.4919,  -6.0430,  -3.7600,  -5.0318
200408,  -2.1588,  -0.8492,  -1.4824,  -1.9756,   0.2356,  -0.5682
200409,   3.4647,   4.1051,   5.4411,   2.4925,   2.8523,   4.0458
200410,   1.2528,   2.2752,   2.0095,   3.2337,   2.1300,   2.1826
200411,  10.8068,   7.5872,   9.1508,   6.7535,   5.8700,   6.1277
200412,   8.3063,   4.7293,   5.7222,   3.6661,   3.9347,   4.8198
200501,  -4.3461,  -2.4690,  -4.0610,  -4.5707,  -1.6329,  -2.4502
200502,   0.7503,   0.6713,   0.7949,   2.9145,   2.4916,   1.7362
200503,  -3.8404,  -2.5746,  -3.6590,  -1.7064,  -0.7635,  -1.3322
200504,  -7.6791,  -4.8155,  -5.8114,  -4.0213,  -2.8484,  -3.7817
200505,   4.8916,   4.4753,   5.3792,   5.7621,   4.3162,   5.8726
200506,   2.9742,   3.3155,   4.7885,   1.5946,   1.8127,   2.2675
200507,   6.2508,   6.6381,   7.7438,   4.1258,   4.9802,   6.0118
200508,  -0.4503,  -1.2561,  -1.7365,  -0.9814,  -0.3135,  -1.5912
200509,   0.9657,   0.3490,   0.4939,   1.1032,   0.1911,   1.4795
200510,  -4.3433,  -2.4911,  -3.2972,  -3.0279,  -2.1462,  -2.0589
200511,   2.8201,   2.8655,   4.2525,   3.4145,   4.3095,   5.4079
200512,   0.6186,   1.0216,   0.6499,   1.6091,   0.5320,   0.7535
200601,   9.3857,   7.2323,   9.3972,   3.4450,   4.4009,   4.6807
200602,   1.6111,   0.6588,  -0.0242,   0.5033,   0.7082,  -0.9494
200603,   5.4197,   4.7664,   4.2599,   2.2060,   1.7847,   2.4409
200604,   1.0913,   0.9450,  -0.1510,   0.9089,   1.2360,   0.7647
200605,  -5.3800,  -3.8367,  -6.2870,  -2.0160,  -2.6075,  -4.5120
200606,  -0.8824,  -0.2453,  -1.4408,  -0.1466,  -0.6298,  -0.2023
200607,  -4.3493,  -2.2151,  -4.4062,  -2.4725,  -2.2125,  -2.8450
200608,   2.6949,   2.0603,   1.6207,   3.8266,   1.9224,   1.1685
200609,   0.4769,   1.2048,   0.5540,   2.3457,   2.0614,   1.6966
200610,   5.7680,   4.4872,   5.5162,   4.3540,   3.7017,   3.8777
200611,   2.4658,   2.2148,   2.7704,   2.4310,   3.1237,   4.2772
200612,   2.1191,   1.5359,   1.1118,   1.4590,   0.8705,  -0.8886
200701,   3.6394,   1.5353,   1.9347,   2.7206,   3.0337,   3.0642
200702,   0.9431,  -0.1792,  -0.0747,   0.1233,   0.0370,  -0.0783
