This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
193207,  31.9086,  36.1125,  63.2475,  28.1955,  48.6209,  67.7847
193208,  48.7266,  55.3725,  83.5754,  31.3211,  50.9661,  62.5277
193209,  -2.8054,  -4.5841, -12.4737,  -1.0366,  -6.5149,  -5.0087
193210, -16.2535, -19.6450, -23.8672, -10.7514, -17.5126, -23.2272
193211,  -0.2972,  -8.2786, -13.2053,  -2.7223,  -8.9288, -16.3816
193212,  -5.1581,  -4.2529, -11.0792,   6.8503,   1.0438,  -3.5633
193301,   4.3896,   1.3914,   8.0722,  -0.0120,   3.0297,   8.7685
193302, -17.8468, -18.4137, -20.8881, -14.9493, -16.5816, -17.3738
193303,   7.0790,   6.1577,  16.0332,   0.9569,   9.8608,   6.7577
193304,  45.4453,  54.8024,  56.5610,  33.7390,  51.8933,  57.4905
193305,  59.9378,  62.1965,  73.3394,  16.9717,  26.7781,  41.6260
193306,  32.9373,  23.3035,  18.5882,  11.3683,  15.5089,  21.9496
193307, -14.1385, -12.7712,  -7.2418,  -8.8583, -13.0573,  -9.2208
193308,  10.5585,  10.1102,   8.2144,  10.5958,  15.7784,  18.8615
193309,  -7.6121, -13.3352, -20.9042,  -9.1454, -12.3603, -19.3866
193310,  -8.4949, -12.4200, -13.8362,  -6.1614, -10.5922, -17.7448
193311,   4.4492,   4.6618,   6.1086,   9.6900,  12.2772,  12.6924
193312,   4.7702,   4.0567,   0.4565,   2.1093,   1.8286,   3.3536
193401,  21.5203,  28.5643,  38.3403,   9.8669,  16.8246,  24.1368
193402,  -0.2935,   1.1796,   5.3723,  -2.3815,  -3.1241,  -3.8100
193403,   4.7722,   2.0674,  -0.0727,  -0.0029,  -0.1362,  -0.6200
193404,   2.8356,  -1.3170,  -1.8303,  -1.7780,  -2.3152,  -4.6160
193405,  -7.3381,  -9.8907, -12.0504,  -6.4033,  -8.5879, -13.5106
193406,   3.7672,   0.0811,  -2.3100,   2.6280,   2.4811,   2.8615
193407, -18.0226, -21.5042, -24.4760,  -8.3110, -11.7051, -23.1790
193408,  10.9235,   9.4125,  12.2230,   6.0718,   4.4464,   5.7691
193409,  -0.9255,  -0.5806,  -3.5672,  -0.2597,  -0.1487,  -0.1050
193410,  -0.9250,  -1.6380,  -4.1937,  -0.4115,  -2.7080,  -7.3690
193411,  17.4218,  15.4433,  12.5284,  10.2402,   5.0137,  10.6573
193412,   4.9409,   1.7554,   1.5981,   0.7507,   0.5333,  -2.2372
193501,  -5.5523,  -3.3988,  -3.0325,  -3.0099,  -2.8838,  -9.3128
193502,  -3.5225,  -4.8589,  -5.8780,  -0.8581,  -1.6838, -12.9875
193503,  -5.9234,  -7.4692, -11.2668,  -2.9715,  -3.3289,  -7.7499
193504,   6.7174,   9.3484,  10.2238,   8.0311,   9.8871,  13.0598
193505,  -2.6657,   2.3317,   1.7345,   3.1370,   4.3390,   3.9570
193506,   5.8129,   5.9262,   0.8071,   6.3821,   5.6136,   8.0813
193507,   9.1528,  12.9358,  12.7537,   6.9882,   6.3196,  17.1148
193508,   4.2227,   8.6796,  14.4462,   2.5694,   2.2001,   3.7475
193509,   5.0917,   5.5331,   0.5575,   4.6757,   0.6768,   1.1198
193510,  10.9064,  10.8504,   6.8068,   6.6016,   7.9769,   6.0328
193511,   6.6969,  10.4475,  18.9743,   3.0389,   5.6087,  14.5739
193512,   5.7713,  10.1556,   2.2152,   2.9835,   5.8064,   8.6858
193601,  10.3194,   7.6727,  22.3771,   3.2881,   9.5299,  12.2406
193602,   1.9010,   6.5601,   6.7824,   1.9137,   2.8060,   7.1039
193603,   0.5096,   2.3380,   0.8324,   2.6378,   0.0632,  -1.0088
193604, -14.3931, -13.9743, -15.4640,  -7.1563,  -8.3505, -10.2494
193605,   4.9011,   5.5856,   8.6767,   5.0578,   5.1107,   6.5508
193606,  -2.2080,  -0.2588,  -1.2498,   3.6325,   2.1402,   0.2676
193607,  10.6321,   7.6218,   9.4742,   5.9190,   6.1995,  12.2012
193608,   0.6464,   2.2704,   4.6150,   0.2916,   0.7816,   4.3069
193609,   2.2261,   4.9643,   4.4676,   0.9227,   1.0988,   0.4333
